0acie podpieracie
0afszy i_wyprostowawszy
0aje nie_przyznaję
0ajo jak_mają
0ajonc mając
0ajonc posiadając
0ajonc ruszając
0ajonc wbiegając
ali nie_smali
ali pochwali
0ali pociągali
0ali spytali
0ali zaznali
0ami doktorami
0ami i_cyframi
0ami miastami
0ami oczami
0ami stosami
0ami widokami
0ami z_wojownikami
0ami zębami
0amy doczekamy
0amy że_damy
ana pana
0ane aż_opisywane
0anej nieznanej
ani ani
ani pani
0ania i_płakania
0ania konania
0ania wyznania
0ania że_z_zdania
0anie fundowanie
0aniem przed_pochowaniem
0aniu rozumowaniu
0ano zwierciadlaną
0anyh napisanych
0anyh poddanych
0anym niepożądanym
0anym powyginanym
0asza nasza
0asze i_wasze
0ała chciała
0ała i_nie_wiedziała
0ała i_pokochała
0ała jak_drżała
0ała stała
0ała szarzała
0ała wołała
0ałaś szeptałaś
ałem ciałem
0ałem pojechałem
0ałem przeczytałem
0ałem widziałem
ałem z_zapałem
ało mało
0ało wiało
ały biały
0ały co_brzmiały
0ały i_promieniały
0ały lub_wyciągały
ały niemały
ecie przecie
0ego Jeremiego
0ego do_tego
0ego i_dlaczego
0ego i_jego
0ego i_tego
0ego i_tego
0ego jego
0ego jego
0ego niego
0ego od_tego
0ego ogromnego
0ego samego
0ego swego
0ego tego
0ego tego
0ego wspaniałomyślnego
0ego z_którego
0ego zabitego
0ego zacnego
0ego zniżonego
0ego złotego
0ego śmiałego
eje dzieje
0eje zleje
0ejsze poufniejsze
0ejszy najbystrzejszy
0ejszy nierówniejszy
0eli zaczęli
0emu choremu
0emu wielmożnemu
encia od_księcia
enciu księciu
0enia brzęczenia
0enia stworzenia
0enia w_widzenia
0enia wzruszenia
0enia zmartwienia
0eniah o_marzeniach
0enie otłuszczenie
0enie poruszenie
0enie utęsknienie
0enie wzruszenie
eniem i_płomieniem
0eniem wieszczeniem
0eniu połączeniu
ente święte
enty wykręty
0enty zdjęty
0eła uścisnęła
eło dzieło
0eło minęło
0eły ciągnęły
0eły przyciągnęły
0eły zniknęły
0oih twoich
0ojej mojej
0olwiek iż_jakkolwiek
0ona niepostrzeżona
0ona otworzona
ona patrona
0ona rodzona
0ona zadowolona
ona że_ona
0oncy niewierzący
0oncy odpoczywający
0one skończone
0one spiętrzone
0one urojone
ono czerwono
ono jak_zielono
0ono zaproszono
ony strony
0ony zapewniony
onym szalonym
owa gotowa
owa słowa
owa słowa
