0ajcie czuwajcie
0ajo i_powiadają
0ajo nabywają
0ajonc pytając
0ali dali
0ali powpadali
0ali słuchali
0ami i_z_żołnierzami
0ami owocami
0ami pod_drzewami
0ami powojami
0ami saniami
0ami sposobami
0ami z_chłopami
0ami zmarszczkami
0ami złudzeniami
ana pana
0anej niezrównanej
anie Rosjanie
anie dworzanie
0anie i_niedowierzanie
0anie i_zamieszanie
anie panie
0anie trzepanie
anie łachmanie
ano ano
ano rano
0ano widziano
0ano zamieszkaną
0ano zbryzganą
any rany
0any usłany
0anyh znanych
0asza nasza
0asze nasze
0aszej naszej
0ała musiała
0ała pobrzękiwała
0ałam przypuszczałam
0ałem i_zamieszkałem
0ało brakowało
ało ciało
0ało i_pochłaniało
0ały wylatywały
0ecie chcecie
0ecie po_świecie
0ego co_ważnego
0ego dlatego
0ego do_nowego
0ego gdy_w_jego
0ego jakiego
0ego jego
0ego jego
0ego jego
0ego królewskiego
0ego miejskiego
0ego najmniejszego
0ego najświetniejszego
0ego potężnego
0ego pływackiego
0ego swojego
0ego szalonego
0ego takiego
0ego takiego
0ego wszystkiego
0ego z_jego
0ego z_mego
0ego zabitego
0ego żadnego
0ejszy co_najgłośniejszy
0ejszyh mniejszych
0emu staremu
0emu tamtemu
0emy nie_możemy
0enci zaklęci
0encia pojęcia
enia bez_imienia
0enia pocieszenia
0enia zachwycenia
0enia złudzenia
0enie powodzenie
enie promienie
0enie sumienie
0eniu uniesieniu
eniu w_cieniu
eniu w_imieniu
0enty naciśnięty
0enty rozcięty
enty sprzęty
0eła powzięła
0eły stanęły
0oi twoi
0oja moja
0oja moja
0oje moje
0ona odurzona
0ona ograniczona
ona strona
onca od_gorąca
0once dochodzące
0once i_przejmujące
0oncej i_mającej
0onco dzwoniącą
0oncy mający
0oncyh mających
0oncyh schodzących
0oncyh towarzyszących
0oncym ku_uciekającym
0one nie_mącone
0one zastąpione
0one znużone
ono czerwoną
0ony otoczony
ony strony
onyh czerwonych
0onym niezmęczonym
owa Kijowa
owa mowa
owa słowa
owa ze_Lwowa
0ować tańcować
0ował schował
owe nowe
0owe po_opatowe
0owi Wawrzusiowi
0owi ku_snowi
0owie Samburowie
owie a_w_połowie
0owie bojarzynowie
0owie hrabiowie
0owie ojcowie
owie w_głowie
owie zdrowie
0owy ogrodowy
0owym przy_Michałowym
0ości młodości
0ościo z_surowością
0uje następuje
0ujesz nie_wytrujesz
ycie należycie
0ycie wycie
0ycie życie
0yciem wyciem
0yciu pobiciu
0yfszy i_przyłożywszy
0yli byli
0yli byli
0yli byli
yli chwili
yli chwili
yli chwili
0yli nie_lubili
0ymi gdy_i_z_samymi
0ymi i_nieustannymi
0ymi krótkimi
0ymi z_najmożniejszymi
0ymi z_niewiernymi
ymy dymy
0ymy załatwimy
0ywał przykrywał
yła Bogumiła
0yła mówiła
0yła nie_była
0yła nie_była
