0acie nie_uciekacie
0ajo jak_spoglądają
0ajo urządzają
0ajo używają
0ajonc czuwając
0ajonc odsuwając
0ajonc wołając
0ajonc śpiewając
0ali ciągali
0ali i_paradowali
0ali powiadali
0ali szeptali
0ami cepami
0ami dziewkami
0ami grzbietami
0ami głowami
0ami kępami
0ami obcęgami
0ami przezwiskami
0ami skrzydłami
0ami stawami
0ami udami
0ami z_łebkami
ana pana
ana pana
0ana wystrugana
0ana wyszukana
0ane usypane
0anej ubranej
ani pani
0ani przebrani
0ani przeprowadzani
0ania do_opisania
0ania pytania
0aniah stękaniach
0anie na_polowanie
0anie zamieszanie
anie zostanie
anie zostanie
0ano słyszano
any buraczany
any rany
0any zamagnetyzowany
any ściany
0anyh niesłyszanych
0anym oczarowanym
0asi wasi
0asza wasza
0asze wasze
0aszej naszej
0aszym waszym
0ała i_spojrzała
0ała podjudzała
0ała przelewała
0ała przyświecała
0ała rzucała
0ała wiedziała
0ała wyrwała
0ała występowała
0ała złamała
0ałem gadałem
0ałem kazałem
0ałem oddałem
0ałem posłałem
0ałem spytałem
0ałem znałem
0ałeś znałeś
0ało panowało
0ało stało
0ały domyślały
ały i_mały
ały i_okazały
0ały szczękały
0ały wychylały
0ego Kuklinowskiego
0ego a_Wokulskiego
0ego a_w_jego
0ego co_innego
0ego do_arcybiskupiego
0ego do_niego
0ego dziwnego
0ego jego
0ego jego
0ego jego
0ego jego
0ego jego
0ego którego
0ego którego
0ego majestatycznego
0ego miedzianego
0ego na_świeżego
0ego nasadzonego
0ego od_zaniedbanego
0ego ojcowskiego
0ego takiego
0ego tego
0ego że_od_jego
0eje wleje
0ejsi i_mężniejsi
0ejsze i_wyraźniejsze
0ejsze najzwyczajniejsze
0ejszej zimniejszej
0ejszy za_najprzyjemniejszy
0ejszyh z_najpiękniejszych
0emu Skrzetuskiemu
0emu swojemu
encia księcia
0enciah w_objęciach
0encie zamknięcie
eni zieleni
0enia chodzenia
0enia z_doświadczenia
0enia zniszczenia
0enie na_odzienie
0eniem połączeniem
0eniu w_milczeniu
0enty przejęty
0eło ciągnęło
0oih moich
0oih swoich
0oim twoim
0olwiek cokolwiek
ona Robinsona
ona a_ona
ona ona
ona ona
0onca Sadząca
0once gorące
0once o_czuwające
once tysiące
0oncy drzący
0oncyh wchodzących
one czerwone
one jak_szalone
0one niecofnione
one szalone
ony brony
0ony ogłuszony
ony strony
0onyh zaczajonych
0onym zwodzonym
0owa marmurowa
owa połowa
owa słowa
0ować rachować
0ować suponować
0ował i_całował
0ował kształtował
0ował zrujnował
0owe błyskawicowe
owe płowe
0owi Lwowiczowi
0owi ku_klasztorowi
0owie iż_piechurowie
owie na_Spychowie
owie w_Janowie
owo mową
owo w_nową
owy nowy
0owyh zimowych
0ości i_o_miłości
ości jegomości
0ości pewności
0ości zaś_dla_zwięzłości
0ościo nagłością
0uje panuje
0uje podziękuje
0uje zdejmuje
0uje zgotuje
0ujonc nasłuchując
0ycia życia
ycie obficie
0ycie uwolnicie
0yli chwalili
yli chwili
yli czyli
0yli dążyli
yli tyli
0yli uczynili
0yli zauważyli
0ymi i_innymi
0ymi i_nimi
0ymi nimi
0ymi splecionymi
0ymi właściwymi
0ywać opanowywać
0ywać widywać
0ywał nie_przerywał
0ywał rozpatrywał
0yła była
0yła czyniła
0yła i_prosiła
0yła mówiła
0yła raczyła
0yła uderzyła
0yła wymówiła
0yła zauważyła
0yła znosiła
0yłaś zabiłaś
0yłem mówiłem
0yłem zawróciłem
0yłeś przemówiłeś
0yłeś że_znieważyłeś
0yło było
0yły były
0yły miesiły
0yły nosiły
0yły skryły
0yły znaczyły
XXX1 Don
XXX1 Stark
XXX1 a_daj
XXX1 a_ja
XXX1 a_wiesz
XXX1 bieg
XXX1 bok
XXX1 bom
XXX1 brak
XXX1 brat
XXX1 by
XXX1 być
XXX1 być
XXX1 być
XXX1 być
XXX1 był
XXX1 chmur
XXX1 choć_w_tej
XXX1 ciał
XXX1 co_by
XXX1 czas
XXX1 czy_je
XXX1 czym
XXX1 dać
XXX1 dał
XXX1 dnia
XXX1 dnieć
XXX1 dom
XXX1 dwóch
XXX1 dzban
XXX1 dzień
XXX1 dziś
XXX1 gra
XXX1 grunt
XXX1 hen
XXX1 i_jął
XXX1 i_trzcin
XXX1 i_tu
XXX1 iść
XXX1 ja
XXX1 jak_liść
XXX1 jak_stał
XXX1 je
XXX1 je
XXX1 je
XXX1 je
XXX1 je
XXX1 je
XXX1 już
XXX1 już
XXX1 już
XXX1 już
XXX1 kończ
XXX1 kpi
XXX1 kraj
XXX1 krzew
XXX1 ksiąg
XXX1 kto
XXX1 ktoś
XXX1 los
XXX1 mgłą
XXX1 miał
XXX1 miał
XXX1 myśl
XXX1 nic
XXX1 nic
XXX1 nic
XXX1 nic
XXX1 nic
XXX1 nic
XXX1 noc
XXX1 pan
XXX1 pan
XXX1 pan
XXX1 pij
XXX1 przyjść
XXX1 rym
XXX1 rzecz
XXX1 rzekł
XXX1 rząd
XXX1 sam
XXX1 sił
XXX1 skąd
XXX1 sly
XXX1 spadł
XXX1 stron
XXX1 stąd
XXX1 swe
XXX1 swej
XXX1 swych
XXX1 swą
XXX1 szewc
XXX1 są
XXX1 ta
XXX1 tak
XXX1 tak
XXX1 tak
XXX1 tam
XXX1 tej
XXX1 tej
XXX1 ten
XXX1 też
XXX1 też
XXX1 też
XXX1 tu
XXX1 tu
XXX1 tu
XXX1 twój
XXX1 ty
XXX1 tych
XXX1 tym
XXX1 tyś
XXX1 w_takt
XXX1 w_te
XXX1 w_tych
XXX1 w_tym
XXX1 wchodź
XXX1 wiesz
XXX1 wiesz
XXX1 wnet
XXX1 wprost
XXX1 wraz
XXX1 wraz
XXX1 wszak
XXX1 wtem
XXX1 z_Don
XXX1 z_pól
XXX1 znać
XXX1 znów
XXX1 znów
XXX1 ścian
XXX1 śmierć
XXX1 śpiew
XXX1 Żyd
XXX1 że_mam
XXX1 że_ta
XXX1 że_tej
XXX3 byliśmy
XXX3 fabryka
XXX3 lub_Afryki
XXX3 przez_liście
XXX3 zrobiliśmy
XXX3 że_fabryka
XXX4 chociażbyście
abdank Abdank
abie lub_żabie
abo słabo
aciuł nieprzyjaciół
acji do_stacji
acjo nostryfikacją
aco praco
aczcie wybaczcie
aczki paczki
aczy rozpaczy
adać badać
adał powiadał
adek owadek
adek upadek
adna i_że_żadna
adość radość
adu gadu
adwuh na_dwóch
afce na_ławce
afił bo_trafił
afront afront
afsze jak_zawsze
afsze zawsze
afsze zawsze
afsze zawsze
aga Naga
agby jakby
agle nagle
agne pragnę
agnoł pragnął
agnoł pragnął
agże wszakże
ahać machać
ahno i_pachną
ahte szlachtę
ajże zajrzę
aka taka
aka taka
aki chłopaki
aki jaki
akiem szlakiem
akieś jakieś
akiś jakiś
aktu faktu
ala dala
ala parala
alas znalazł
albo albo
alnej nieuleczalnej
alnyh nieziszczalnych
alu z_żalu
ama brama
amek zamek
amian w_zamian
amian w_zamian
amkuf zamków
amym w_samym
amyśl za_myśl
anah na_ścianach
anah po_ścianach
andżej Andrzej
anem buzdyganem
anho Sancho
anhy Sanchy
anic na_nic
anih na_nich
anim zanim
anio przed_panią
anki Ormianki
ankiem wiankiem
anko z_Zaniewszczanką
anna panna
anny nie_panny
antah w_brylantach
antek Antek
anu Patusanu
anu szafranu
apko jabłko
apna wapna
aproh na_proch
apuł i_na_pół
ara ofiara
arcia Garcia
arde pogardę
ardyn bernardyn
argi skargi
aria Krymtataria
arskać parskać
arto karto
arto odarto
aru ciężaru
ary na_bary
ary suchary
arłem zaś_odparłem
asem tymczasem
asiek jasiek
astu a_ku_miastu
aszyh do_naszych
ata lata
ate chatę
ater wiater
atio recordatio
atki lub_kładki
atko bat'ko
atna delikatna
atru do_teatru
atszał patrzał
atło światło
auka Glauka
awaj dawaj
awet nawet
awet nawet
awie murawie
awie prawie
awie wyprawię
awić poprawić
awiść nienawiść
awno sławną
awy dzierżawy
awy i_sławy
azem razem
azu wyrazu
azwe nazwę
azłem znalazłem
azłszy znalazłszy
aćpan jak_waćpan
aćpan waćpan
ałej i_całej
ało i_całą
ałuf oddziałów
ańskie wielkopańskie
ańsko pańską
aństwo państwo
aństwo waćpaństwo
ańszy tańszy
aśnie właśnie
aśniek na_śnieg
aźni i_wyobraźni
aża gospodarza
aża pachciarza
aża zdarza
ażam uważam
ażał powtarzał
aże aże
aże nie_pokażę
ażem lecz_nędzarzem
ebe glebę
ebie dla_siebie
ebie z_ciebie
ebni wielebni
ebny wielebny
eby potrzeby
ece jak_dalece
ece świécę
eciesz przecież
ecnyh obecnych
eco nieco
eco nieco
eczah o_rzeczach
ecze rzecze
eczki beczki
eczuć przeczuć
ednej jednej
edy kiedy
edy kiedy
edy tedy
edy tedy
edy wtedy
edy wtedy
edzia niedźwiedzia
edział odpowiedział
edział siedział
edziesz pojedziesz
edzin odwiedzin
efał Bucefał
efekt prefekt
efki i_dziewki
egah szeregach
egrać odegrać
egu na_brzegu
egły cegły
eha Lecha
ehał jechał
ehał przyjechał
eho echo
ehy grzechy
ehże niechże
eja Hamdi-beja
ejem zalejem
ejski miejski
ejście wejście
ejżał gdy_obejrzał
ekać zwlekać
ekka z_lekka
ekkih lekkich
ekuf wieków
ekłem rzekłem
ekło piekło
ekłszy rzekłszy
elej weselej
elem zielem
eli Izabeli
eli aniżeli
eli z_pościeli
elić i_weselić
elkiej wielkiej
elkim wielkim
elu bez_celu
elu celu
elu i_wielu
emal niemal
emie brzemię
emie na_ziemię
emie o_ziemię
emna ciemna
emna przyjemna
emne podziemne
emnie i_nieforemnie
empstwa przestępstwa
emuk nie_mógł
ena Beethovena
ena MAGDALENA
encej co_więcej
encił kręcił
encki Łęcki
enczno w_miesięczną
endo że_będą
endziesz będziesz
endziu na_podorędziu
endzy między
endzy pieniędzy
endzy przędzy
enem i_Greenem
engi Księgi
eniec jeniec
enki ręki
enkne i_piękne
enknyh pięknych
entnie mętnie
entsza wnętrza
epa ślepa
epie w_sklepie
epiec czepiec
epiej lepiej
eraj odbieraj
eras nieraz
eras teraz
eras teraz
erci śmierci
ercio przed_śmiercią
erfszym pierwszym
ernej niezmiernej
erni i_cierni
ernio czernią
ero aż_dopiero
ero dopiero
erte kopertę
eru i_charakteru
esah w_interesach
eser deser
eski Maleski
estem szelestem
esteś jesteś
eszcze jeszcze
eszcze jeszcze
eszcze jeszcze
esznie spiesznie
eszła weszła
esła krzesła
esła krzesła
etna szlachetna
eto przeto
etsze na_wietrze
ety kobiety
ewa przyjdziewa
ewnoncz z_zewnątrz
ewnym na_pewnym
ewruf manewrów
eznasz nie_znasz
ełne wełnę
ełnym pełnym
ełsny nieszczęsny
ełszkiej ciężkiej
ełsła zatrzęsła
ełżesz polężesz
eńki maleńki
eńskim nadniemeńskim
eściu sześciu
eśli jeśli
eśli jeśli
eśli jeśli
eże gdy_postrzeże
eże o_Müllerze
eżej szczerzej
eży bieży
eżyć wierzyć
obie i_nie_o_tobie
obie na_sobie
obie na_sobie
obie o_tobie
obie sobie
obie sobie
obie tobie
obno podobno
obność sposobność
obo za_sobą
obro dobrą
obże dobrze
ociasz chociaż
ocki Ochocki
ocno mocno
ocno mocno
ocny nocny
ocy nocy
oczne czworoboczne
oczoł i_począł
oczołć i_spocząć
oczyć otoczyć
oczyć skoczyć
oddam oddam
oddał oddał
oddeh oddech
ode młode
odej młodej
odem mimochodem
odni zbrodni
odniej od_niej
odnih od_nich
odność godność
ody i_wody
ody zagrody
odzi chodzi
odzie wodzie
odził wodził
odzo wchodzą
odźby choćby
odżek odrzekł
oga u_Boga
ogi trwogi
ogih mnogich
ogo drogo
ogu Bogu
ogu o_Bogu
oguf wrogów
ogła mogła
oham kocham
ohut dochód
oim na_twoim
ojcom ojcom
ojcu ojcu
oje we_dwoje
ojem ze_znojem
ojska wojska
okiem wyrokiem
okna i_okna
oknie oknie
okuf kroków
okuf kroków
okuf roków
ola swawola
ole w_dole
ole w_niewolę
olił golił
olno wolno
olo w_niewolą
olsko nad_Polską
olsko polską
olu w_polu
oma dwoma
oma z_kilkoma
omnym bezprzytomnym
omu do_domu
onał pokonał
onczas naonczas
onczke gorączkę
ongle i_ciągle
oni dzwoni
oni oni
onie w_salonie
onio dłonią
onke na_łąkę
opna okropna
oraj wczoraj
oriot Goriot
orium terytorium
oro korą
oro skoro
oru humoru
oru wieczoru
ory chory
osa złotowłosa
oskosz rozkosz
osno w_żałosną
ostać i_postać
ostać postać
osto prosto
ostro że_ostro
ostu od_mostu
ostu wzrostu
ostwa marszałkostwa
osty starosty
osuf włosów
osup sposób
osup w_sposób
oszkuf świętoszków
osły odniosły
ota istota
ota złota
otał zamigotał
ote piechotę
otnie istotnie
otny nad_pierwotny
oto oto
oto prostotą
otsłoń odsłoń
oty cnoty
otym o_tym
otym o_tym
owe w_głowę
owia zdrowia
owicz Polichnowicz
owiem bowiem
owiem powiem
owiu ołowiu
owiut powiódł
owość surowość
owrus powróz
owu znowu
owut dowód
oznał i_poznał
ołał zdołał
ołe wesołe
ołem objąłem
oło wkoło
ołsku na_Śląsku
ołtasz za_ołtarz
ońcu i_że_w_końcu
oński symploński
ościuł kościół
oże bo_może
ożonc powożąc
ożuh kożuch
ożył i_położył
ube zgubę
ubżo żubrzą
ucił i_rzucił
ucił odrzucił
ucje rezolucję
uczuć uczuć
ude chude
udnie obłudnie
udo udo
udział udział
udzie ludzie
udzin Żmudzin
udzym w_cudzym
udźmi ludźmi
ugi drugi
uhah a_w_ruchach
uhać słuchać
uhem ruchem
uhem ruchem
uhła wybuchła
ujoł ujął
ukam nie_wyszukam
ukał odszukał
ukał szukał
ulbe Bulbę
ulic ulic
ulski że_Wokulski
umar umarł
umar umarł
umie zrozumie
umieć zrozumieć
umne trumnę
una zwiastuna
unek ratunek
unek ratunek
unem z_Bohunem
uny fortuny
upcuf kupców
upcuf z_głupców
upio trupią
upki skorupki
ura która
ure które
ure które
ure które
ure pod_rurę
ure skórę
urej i_której
urek kurek
urki jaszczurki
ury do_góry
ury skóry
uryh których
urym w_którym
usia Piotrusia
ustah przy_ustach
ustnie chlustnie
usuf Aulusów
usza dusza
uszci jużci
uszczać przypuszczać
uszcze w_puszcze
usznie co_niesłusznie
uszy uszy
uszył kruszył
utpasm wśród_pasm
utrem futrem
uwie mówię
uwno zarówno
uznał uznał
uła czuła
ułke rzeczułkę
ułna czółna
uże na_podwórze
użem cóżem
użniać rozróżniać
użnym na_podłużnym
użo kałużo
uży którzy
użyć służyć
yby gdyby
yby jak_gdyby
yby niby
yby niby
yby że_gdyby
yca granica
yca różnica
yca żywica
yce obietnice
ycer oficer
ycesz rycerz
ycic Kmicic
ycji propozycji
ycuf rodziców
ycuf rodziców
ycy lirnicy
ycza Awicza
ydok widok
ydrah w_klepsydrach
ydu idu
ydwaj obydwaj
ydze znienawidzę
ydła brzydła
ydła krasnoskrzydła
ygdy nigdy
ygła strzygła
yhasz dychasz
yjaźń przyjaźń
yje za_szyję
yka bryka
yka do_powozika
yke za_grdykę
ykie dzikie
ykle zwykle
yko dziko
ykom zakonnikom
yku dzienniku
yku kanoniku
yku krzyku
ykuf od_dłużników
ykłe przywykłe
ykłyh i_niezwykłych
ylczał milczał
yldwah szyldwach
yle chwilę
yle po_co_tyle
yle tyle
ylił przechylił
ylko tylko
ylko tylko
ylku kilku
ymał powstrzymał
ymał przytrzymał
ymie w_Rzymie
ymny zimny
yna antypiryna
yna balladyna
ynam przypominam
yne na_roślinę
ynet z_Medinet
yngen de_Nucingen
ynie godzinie
ynka synka
ynni inni
ynnyh innych
yno Justyno
ynuf kominów
yny dziewczyny
yny i_Hercegowiny
yny małżowiny
yny winy
ypko szybko
ypko szybko
yram Piram
yrwać wyrwać
ysać opisać
yscy a_wszyscy
yscy wszyscy
yscy wszyscy
ysko o_przezwisko
yskuf chłopczysków
yson Rawlison
yson Rawlison
ystał choć_przystał
ystej kwiecistej
ystkie na_wszystkie
ystkim wszystkim
ystko a_nade_wszystko
ystko wszystko
ystko wszystko
ysto i_czystą
ystsza mistrza
ysze słyszę
yszpan Hiszpan
yszszon wywyższon
yszszym w_bliższym
yszuf na_towarzyszów
ysłał wysłał
ytasz korytarz
yte pokryte
ytnio zbytnio
ytość litość
ytu bytu
ytwie na_Litwie
yty obfity
ytym przy_tym
ywa zapalczywa
ywie burzliwie
ywie chętliwie
ywie cierpliwie
ywy dziwy
ywy inicjatywy
ywyh prawdziwych
yzby do_izby
yzuć wyzuć
yłe i_siłę
yńca z_gościńca
yńcu przy_gościńcu
yńmy zgińmy
yńskiej dobrzyńskiej
yście ziarniście
yślań i_rozmyślań
yżem i_z_krzyżem
yżyk krzyżyk
